bcwID,CDCID,strainID,Serotype
BCW_S003,P12b,P12b,H17 Standard Strain
BCW_S004,H3306,H3306,H20 Standard Strain
BCW_S005,U11a-44,U11a-44,H21 Standard Strain
BCW_S006,H23w,H23w,H23 Standard Strain
BCW_S007,H25w,H25w,H24 Standard Strain
BCW_S008,H32w,H32w,H30 Standard Strain
BCW_S009,H34w,H34w,H32 Standard Strain
BCW_S010,P4,P4,H48 Standard Strain
BCW_S011,AB1767,AB1767,H51 Standard Strain
BCW_S012,SN2N-1,SN2-N1,H56 Standard Strain
