WGSID	OUTBREAK
PNUSAS014304	1704MLTDK-1
PNUSAS014365	1704MLTDK-1
PNUSAS014367	1704MLTDK-1
PNUSAS014375	1704MLTDK-1
PNUSAS014376	1704MLTDK-1
PNUSAS014381	1704MLTDK-1
PNUSAS014386	1704MLTDK-1
PNUSAS014387	1704MLTDK-1
PNUSAS014388	1704MLTDK-1
PNUSAS014393	1704MLTDK-1
PNUSAS014407	1704MLTDK-1
PNUSAS014411	1704MLTDK-1
PNUSAS014415	1704MLTDK-1
PNUSAS014417	1704MLTDK-1
PNUSAS014421	1704MLTDK-1
PNUSAS014423	1704MLTDK-1
PNUSAS014432	1704MLTDK-1
PNUSAS014436	1704MLTDK-1
PNUSAS014450	1704MLTDK-1
PNUSAS014487	1704MLTDK-1
PNUSAS014503	1704MLTDK-1
PNUSAS014526	1704MLTDK-1
PNUSAS014573	1704MLTDK-1
PNUSAS014576	1704MLTDK-1
PNUSAS014578	1704MLTDK-1
PNUSAS014580	1704MLTDK-1
PNUSAS014582	1704MLTDK-1
PNUSAS014584	1704MLTDK-1
PNUSAS014585	1704MLTDK-1
PNUSAS014591	1704MLTDK-1
PNUSAS014599	1704MLTDK-1
PNUSAS014634	1704MLTDK-1
PNUSAS014638	1704MLTDK-1
PNUSAS014639	1704MLTDK-1
PNUSAS014643	1704MLTDK-1
PNUSAS014652	1704MLTDK-1
PNUSAS014672	1704MLTDK-1
PNUSAS014675	1704MLTDK-1
PNUSAS014683	1704MLTDK-1
PNUSAS014688	1704MLTDK-1
PNUSAS014692	1704MLTDK-1
PNUSAS014694	1704MLTDK-1
PNUSAS014702	1704MLTDK-1
PNUSAS014716	1704MLTDK-1
PNUSAS014751	1704MLTDK-1
PNUSAS014757	1704MLTDK-1
PNUSAS014777	1704MLTDK-1
PNUSAS014800	1704MLTDK-1
PNUSAS014801	1704MLTDK-1
PNUSAS014802	1704MLTDK-1
PNUSAS014803	1704MLTDK-1
PNUSAS014804	1704MLTDK-1
PNUSAS014805	1704MLTDK-1
PNUSAS014815	1704MLTDK-1
PNUSAS014877	1704MLTDK-1
PNUSAS014943	1704MLTDK-1
PNUSAS014980	1704MLTDK-1
PNUSAS014994	1704MLTDK-1
PNUSAS015021	1704MLTDK-1
PNUSAS015025	1704MLTDK-1
PNUSAS015035	1704MLTDK-1
PNUSAS015044	1704MLTDK-1
PNUSAS015045	1704MLTDK-1
PNUSAS015049	1704MLTDK-1
PNUSAS015056	1704MLTDK-1
PNUSAS015064	1704MLTDK-1
PNUSAS015065	1704MLTDK-1
PNUSAS015066	1704MLTDK-1
PNUSAS015081	1704MLTDK-1
PNUSAS015101	1704MLTDK-1
PNUSAS015137	1704MLTDK-1
PNUSAS015154	1704MLTDK-1
PNUSAS015161	1704MLTDK-1
PNUSAS015166	1704MLTDK-1
PNUSAS015175	1704MLTDK-1
PNUSAS015178	1704MLTDK-1
PNUSAS015183	1704MLTDK-1
PNUSAS015220	1704MLTDK-1
PNUSAS015221	1704MLTDK-1
PNUSAS015223	1704MLTDK-1
PNUSAS015238	1704MLTDK-1
PNUSAS015240	1704MLTDK-1
PNUSAS015241	1704MLTDK-1
PNUSAS015248	1704MLTDK-1
PNUSAS015255	1704MLTDK-1
PNUSAS015276	1704MLTDK-1
PNUSAS015277	1704MLTDK-1
PNUSAS015285	1704MLTDK-1
PNUSAS015309	1704MLTDK-1
PNUSAS015328	1704MLTDK-1
PNUSAS015329	1704MLTDK-1
PNUSAS015336	1704MLTDK-1
PNUSAS015358	1704MLTDK-1
PNUSAS015384	1704MLTDK-1
PNUSAS015400	1704MLTDK-1
PNUSAS015402	1704MLTDK-1
PNUSAS015403	1704MLTDK-1
PNUSAS015406	1704MLTDK-1
PNUSAS015407	1704MLTDK-1
PNUSAS015408	1704MLTDK-1
PNUSAS015409	1704MLTDK-1
PNUSAS015412	1704MLTDK-1
PNUSAS015413	1704MLTDK-1
PNUSAS015414	1704MLTDK-1
PNUSAS015415	1704MLTDK-1
PNUSAS015416	1704MLTDK-1
PNUSAS015417	1704MLTDK-1
PNUSAS015418	1704MLTDK-1
PNUSAS015419	1704MLTDK-1
PNUSAS015421	1704MLTDK-1
PNUSAS015422	1704MLTDK-1
PNUSAS015423	1704MLTDK-1
PNUSAS015424	1704MLTDK-1
PNUSAS015430	1704MLTDK-1
PNUSAS015431	1704MLTDK-1
PNUSAS015451	1704MLTDK-1
PNUSAS015456	1704MLTDK-1
PNUSAS015460	1704MLTDK-1
PNUSAS015479	1704MLTDK-1
PNUSAS015486	1704MLTDK-1
PNUSAS015487	1704MLTDK-1
PNUSAS015490	1704MLTDK-1
PNUSAS015494	1704MLTDK-1
PNUSAS015521	1704MLTDK-1
PNUSAS015545	1704MLTDK-1
PNUSAS015635	1704MLTDK-1
PNUSAS015644	1704MLTDK-1
PNUSAS015657	1704MLTDK-1
PNUSAS015658	1704MLTDK-1
PNUSAS015660	1704MLTDK-1
PNUSAS015661	1704MLTDK-1
PNUSAS015668	1704MLTDK-1
PNUSAS015676	1704MLTDK-1
PNUSAS015678	1704MLTDK-1
PNUSAS015679	1704MLTDK-1
PNUSAS015681	1704MLTDK-1
PNUSAS015682	1704MLTDK-1
PNUSAS015691	1704MLTDK-1
PNUSAS015693	1704MLTDK-1
PNUSAS015695	1704MLTDK-1
PNUSAS015696	1704MLTDK-1
PNUSAS015700	1704MLTDK-1
PNUSAS015705	1704MLTDK-1
PNUSAS015722	1704MLTDK-1
PNUSAS015751	1704MLTDK-1
PNUSAS015764	1704MLTDK-1
PNUSAS015908	1704MLTDK-1
PNUSAS015913	1704MLTDK-1
PNUSAS015915	1704MLTDK-1
PNUSAS015961	1704MLTDK-1
PNUSAS015963	1704MLTDK-1
PNUSAS015972	1704MLTDK-1
PNUSAS015976	1704MLTDK-1
PNUSAS015985	1704MLTDK-1
PNUSAS016012	1704MLTDK-1
PNUSAS016015	1704MLTDK-1
PNUSAS016094	1704MLTDK-1
PNUSAS016108	1704MLTDK-1
PNUSAS016126	1704MLTDK-1
PNUSAS016147	1704MLTDK-1
PNUSAS016158	1704MLTDK-1
PNUSAS016159	1704MLTDK-1
PNUSAS016161	1704MLTDK-1
PNUSAS016190	1704MLTDK-1
PNUSAS016201	1704MLTDK-1
PNUSAS016214	1704MLTDK-1
PNUSAS016218	1704MLTDK-1
PNUSAS016240	1704MLTDK-1
PNUSAS016242	1704MLTDK-1
PNUSAS016255	1704MLTDK-1
PNUSAS016256	1704MLTDK-1
PNUSAS016258	1704MLTDK-1
PNUSAS016271	1704MLTDK-1
PNUSAS016282	1704MLTDK-1
PNUSAS016290	1704MLTDK-1
PNUSAS016362	1704MLTDK-1
PNUSAS016372	1704MLTDK-1
PNUSAS016383	1704MLTDK-1
PNUSAS016505	1704MLTDK-1
PNUSAS016524	1704MLTDK-1
PNUSAS016531	1704MLTDK-1
PNUSAS016589	1704MLTDK-1
PNUSAS016597	1704MLTDK-1
PNUSAS016611	1704MLTDK-1
PNUSAS016645	1704MLTDK-1
PNUSAS016659	1704MLTDK-1
PNUSAS016718	1704MLTDK-1
PNUSAS016719	1704MLTDK-1
PNUSAS016726	1704MLTDK-1
PNUSAS016780	1704MLTDK-1
PNUSAS016804	1704MLTDK-1
PNUSAS016807	1704MLTDK-1
PNUSAS016814	1704MLTDK-1
PNUSAS016822	1704MLTDK-1
PNUSAS016823	1704MLTDK-1
PNUSAS016827	1704MLTDK-1
PNUSAS016831	1704MLTDK-1
PNUSAS016832	1704MLTDK-1
PNUSAS016833	1704MLTDK-1
PNUSAS016847	1704MLTDK-1
PNUSAS016955	1704MLTDK-1
PNUSAS016958	1704MLTDK-1
PNUSAS017019	1704MLTDK-1
PNUSAS017075	1704MLTDK-1
PNUSAS017084	1704MLTDK-1
PNUSAS017128	1704MLTDK-1
PNUSAS017150	1704MLTDK-1
PNUSAS017154	1704MLTDK-1
PNUSAS017190	1704MLTDK-1
PNUSAS017193	1704MLTDK-1
PNUSAS017194	1704MLTDK-1
PNUSAS017196	1704MLTDK-1
PNUSAS017198	1704MLTDK-1
PNUSAS017218	1704MLTDK-1
PNUSAS017220	1704MLTDK-1
PNUSAS017235	1704MLTDK-1
PNUSAS017245	1704MLTDK-1
PNUSAS017271	1704MLTDK-1
PNUSAS017275	1704MLTDK-1
PNUSAS017292	1704MLTDK-1
PNUSAS017299	1704MLTDK-1
PNUSAS017325	1704MLTDK-1
PNUSAS017343	1704MLTDK-1
PNUSAS017361	1704MLTDK-1
PNUSAS017362	1704MLTDK-1
PNUSAS017363	1704MLTDK-1
PNUSAS017364	1704MLTDK-1
PNUSAS017365	1704MLTDK-1
PNUSAS017366	1704MLTDK-1
PNUSAS017367	1704MLTDK-1
PNUSAS017368	1704MLTDK-1
PNUSAS017369	1704MLTDK-1
PNUSAS017370	1704MLTDK-1
PNUSAS017371	1704MLTDK-1
PNUSAS017372	1704MLTDK-1
PNUSAS017373	1704MLTDK-1
PNUSAS017374	1704MLTDK-1
PNUSAS017386	1704MLTDK-1
PNUSAS017398	1704MLTDK-1
PNUSAS017411	1704MLTDK-1
PNUSAS017412	1704MLTDK-1
PNUSAS017416	1704MLTDK-1
PNUSAS017426	1704MLTDK-1
PNUSAS017436	1704MLTDK-1
PNUSAS017448	1704MLTDK-1
PNUSAS017490	1704MLTDK-1
PNUSAS017500	1704MLTDK-1
PNUSAS017534	1704MLTDK-1
PNUSAS017535	1704MLTDK-1
PNUSAS017544	1704MLTDK-1
PNUSAS017567	1704MLTDK-1
PNUSAS017568	1704MLTDK-1
PNUSAS017569	1704MLTDK-1
PNUSAS017572	1704MLTDK-1
PNUSAS017575	1704MLTDK-1
PNUSAS017597	1704MLTDK-1
PNUSAS017629	1704MLTDK-1
PNUSAS017634	1704MLTDK-1
PNUSAS017635	1704MLTDK-1
